1
98,140,28,140,28,57,98,57
104.89,150.655,35.8063,143.459,45.3083,52.2404,114.392,59.4366
39.7077,157.661,29.1077,72.8615,105.908,63.2615,116.508,148.061
52,156,52,60,120,60,120,156
65,174,65,67,129,67,129,174
78.6113,184.458,70.161,81.3639,136.6,75.9181,145.05,179.012
86.0929,184.666,79.2178,79.8218,146.045,75.4397,152.92,180.284
96.7665,189.731,89.0254,81.3553,155.117,76.6345,162.858,185.01
107.339,196.09,100.35,86.0095,165.468,81.875,172.457,191.955
135.69,206.724,94.5862,103.965,161.31,77.2758,202.414,180.035
136.1,205.3,100.5,98.5,171.9,74.7,207.5,181.5
138.951,202.439,104.658,100.989,179.438,75.7112,213.731,177.161
138.687,201.904,105.488,99.4194,179.726,75.3706,212.925,177.855
128,191,128,80,204,80,204,191
134,193,134,70,205,70,205,193
139.377,193.381,137.415,71.7514,207.526,70.6205,209.488,192.25
144,192,144,70,215,70,215,192
216.759,196.778,149.639,190.582,161.135,66.0432,228.255,72.2389
234.419,186.767,164.515,183.213,170.62,63.1501,240.523,66.7046
251.966,175.998,179.174,170.977,187.06,56.6249,259.852,61.645
193.624,161.741,186.695,64.736,269.843,58.797,276.772,155.802
211,154,211,56,290,56,290,154
292.112,187.384,225.144,175.208,245.432,63.624,312.4,75.8
249,188,249,66,317,66,317,188
323.351,192.319,255.632,185.87,267.452,61.7573,335.171,68.2068
335.811,194.005,266.733,188.791,276.269,62.4354,345.347,67.6488
280,192,280,66,351,66,351,192
349.629,194.431,278.057,190.853,284.524,61.5262,356.095,65.1048
282,189,282,59,353,59,353,189
279,188,279,61,349,61,349,188
274.194,192.272,267.498,61.718,336.88,58.16,343.575,188.714
261,190,261,59,329,59,329,190
248,192,248,59,317,59,317,192
234,192,234,57,304,57,304,192
220,191,220,57,291,57,291,191
282.049,162.535,204.202,159.94,207.832,51.0277,285.679,53.6226
259.856,171.126,188.017,166.255,195.447,56.6574,267.286,61.5279
184.061,176.458,169.956,70.6725,242.336,61.0218,256.441,166.808
169,177,169,68,239,68,239,177
177.5,200.5,123.5,146.5,189,81,243,135
156.435,194.089,141.289,98.1649,214.413,86.6189,229.559,182.543
148.749,199.284,133.576,105.717,207.918,93.6619,223.091,187.229
130,198,130,100,204,100,204,198
192.67,204.698,123.893,195.101,139.693,81.8642,208.471,91.461
127,202,127,83,195,83,195,202
123,197,123,84,192,84,192,197
120,197,120,84,190,84,190,197
116,197,116,81,187,81,187,197
113,197,113,80,186,80,186,197
113,198,113,80,185,80,185,198
115,194,115,81,192,81,192,194
122,199,122,78,196,78,196,199
204.709,203.221,130.956,198.135,139.276,77.5018,213.028,82.5882
213.413,204.381,142.497,193.184,161.746,71.2757,232.662,82.473
168,183,168,66,243,66,243,183
256.377,176.163,183.278,169.807,192.805,60.2439,265.904,66.6004
279.763,164.251,201.279,157.887,209.11,61.3063,287.594,67.6698
222,188,222,65,290,65,290,188
239,193,239,67,304,67,304,193
255.416,196.983,249.991,66.792,314.92,64.0866,320.345,194.277
267,201,267,67,334,67,334,201
276,197,276,67,347,67,347,197
288,192,288,63,360,63,360,192
296,192,296,62,367,62,367,192
305.128,195.951,299.207,59.7736,370.508,56.6736,376.428,192.851
302,196,302,56,375,56,375,196
302,196,302,57,376,57,376,196
290,198,290,56,367,56,367,198
277,201,277,57,357,57,357,201
268.583,212.907,259.724,62.3103,339.155,57.6379,348.014,208.234
251.634,211.252,235.174,69.7007,315.943,60.309,332.402,201.86
231.785,207.277,214.8,71.4,296.523,61.1846,313.508,197.062
260.312,209.6,172.302,125.683,237.217,57.602,325.227,141.518
169.745,175.628,144.382,84.552,245.502,56.392,270.865,147.468
172,205,110.5,143.5,193.5,60.5,255,122
130,200,130,77,219,77,219,200
105,199,105,72,204,72,204,199
138.061,223.108,67.7846,100.123,150.492,52.8615,220.769,175.846
149.064,211.998,50.736,119.815,118.969,47.0333,217.297,139.216
133.138,199.984,27.6606,116.481,90.2572,37.412,195.734,120.915
129.457,184.396,7.8041,134.057,46.9837,39.3726,168.637,89.7117
86.0891,226.218,-15.453,103.992,61.3892,40.1536,162.931,162.38
73.283,221.211,-26.4744,101.133,54.6276,33.7555,154.385,153.834
0,206,0,56,110,56,110,206
0,206,0,54,125,54,125,206
0,207,0,54,127,54,127,207
0,202,0,55,125,55,125,202
0,204,0,53,122,53,122,204
75.5876,228.072,-33.5052,186.113,19.6134,48.0052,128.706,89.9639
79.9321,220.923,-25.4212,193.036,12.8416,48.4875,118.195,76.3751
0,205,0,68,112,68,112,205
101.941,209.594,-9.3465,198.465,4.1881,63.1188,115.475,74.2475
86.0334,223.762,-22.608,185.737,23.9911,52.5969,132.633,90.6214
97.866,216.311,-12.384,189.983,20.6478,51.6622,130.898,77.9905
104.435,219.994,3.8705,203.866,26.8784,60.4051,127.443,76.5333
24,224,24,68,119,68,119,224
48.5148,234.148,32.5446,74.4455,121.554,65.5446,137.525,225.247
47,219,47,74,139,74,139,219
65,220,65,73,153,73,153,220
79.9188,225.215,65.1871,82.8082,159.181,73.0847,173.913,215.492
123.909,228.988,77.0152,94.1686,162.732,64.3541,209.626,199.174
117.91,216.261,109.458,83.8431,201.487,77.9689,209.94,210.387
165.352,218.884,89.0715,159.186,164.047,63.3845,240.327,123.082
149,209,149,85,238,85,238,209
162,185,162,85,262,85,262,185
276.873,191.743,177.364,157.981,205.742,74.3409,305.251,108.103
228.677,196.815,203.223,103.485,291.731,79.3462,317.185,172.677
315.495,213.25,232.999,205.611,243.152,95.9586,325.648,103.597
340.025,219.696,258.304,213.025,267.803,96.6575,349.524,103.328
329.103,227.37,256.358,190.11,310.392,84.6154,383.137,121.875
298,220,298,102,384,102,384,220
390.983,229.447,306.044,216.707,324.543,93.3814,409.482,106.122
395.347,220.289,305.943,192.655,341.112,78.8711,430.517,106.505
328,213,328,86,422,86,422,213
330.485,213.642,327.249,82.5988,423.536,80.2213,426.772,211.265
328,211,328,82,425,82,425,211
342.114,225.311,324.725,76.5386,418.855,65.5365,436.244,214.309
328,214,328,65,426,65,426,214
413.859,213.434,314.191,207.684,322.638,61.2676,422.307,67.0177
401.835,208.141,300.818,200.37,311.8,57.6,412.818,65.3706
296,210,296,59,396,59,396,210
285,211,285,58,384,58,384,211
291.254,220.011,247.461,94.8886,350.935,58.6726,394.728,183.795
285.091,225.456,241.177,107.581,346.018,68.5226,389.932,186.398
286.129,232.036,232.408,113.4,333.804,67.4848,387.526,186.12
280.236,232.603,229.998,104.218,332.933,63.9393,383.171,192.325
357.767,214.894,256.425,210.068,263.398,63.638,364.74,68.4638
261.988,220.89,245.402,71.6219,347.256,60.3049,363.841,209.573
259.568,221.405,234.676,72.0541,339.432,54.5946,364.324,203.946
265.18,223.463,218.381,71.8331,319.704,40.5605,366.503,192.19
288.434,228.812,176.339,110.124,257.119,33.832,369.214,152.52
290.983,227.042,165.956,118.528,239.388,33.922,364.415,142.435
292.564,222.175,149.706,124.43,212.032,33.3377,354.891,131.083
294.361,221.739,149.085,125.494,209.498,34.3049,354.773,130.55
292.731,212.972,140.907,146.443,187.136,40.947,338.96,107.477
223.607,229.371,147.876,108.202,257.09,39.9438,332.82,161.112
255.905,221.316,165.363,101.481,256.113,32.9145,346.655,152.749
294.381,214.153,185.697,185.552,220.904,51.7643,329.588,80.3653
218.925,206.504,212.152,71.0424,316.192,65.8404,322.965,201.302
315.461,210.799,215.937,197.818,233.19,65.5465,332.714,78.5279
319.943,210.253,220.647,200.643,232.688,76.2278,331.983,85.8371
325.96,206.07,225.658,200.6,232.168,81.2455,332.47,86.7165
224,198,224,85,328,85,328,198
236.255,208.977,209.037,104.643,310.237,78.2425,337.455,182.577
245.441,212.735,193.294,125.824,285.5,70.5,337.647,157.412
259.849,213.878,184.451,141.831,257.22,65.6768,332.619,137.725
259.803,213.834,184.474,141.853,258.198,64.7001,333.527,136.681
246.622,208.3,183.237,122.645,264.705,62.3582,328.09,148.014
285.639,198.033,205.241,189.419,217.577,74.2762,297.976,82.8903
218,194,218,75,296,75,296,194
298.241,196.429,224.855,189.549,236.219,68.333,309.605,75.213
244,195,244,69,314,69,314,195
262,210,262,75,329,75,329,210
277.923,213.006,267.418,76.4294,337.235,71.0588,347.741,207.635
290.751,206.132,276.943,74.9534,348.986,67.3698,362.794,198.548
299.474,202.494,285.954,69.5471,358.777,62.1413,372.297,195.088
302.503,203.307,295.439,65.5672,368.836,61.8033,375.9,199.544
307.971,207.425,295.295,64.8182,367.811,58.3724,380.487,200.979
299,210,299,62,376,62,376,210
300,209,300,63,375,63,375,209
294.883,217.401,289.063,63.1674,368.422,60.1728,374.242,214.406
285,219,285,68,367,68,367,219
280,219,280,71,361,71,361,219
275,222,275,77,357,77,357,222
266,213,266,79,354,79,354,213
266,212,266,83,353,83,353,212
262,208,262,85,360,85,360,208
295.4,223.8,238.6,110.2,321,69,377.8,182.6
318.421,225.708,219.04,144.396,283.332,65.8168,382.713,147.129
310.672,229.965,211.099,127.375,279.856,60.6397,379.429,163.23
301.738,229.885,204.77,113.525,281.197,49.8361,378.164,166.197
294.059,234.667,197.5,106.867,275.164,48.1874,371.723,175.987
246.226,220.726,228.456,70.4944,324.542,59.1294,342.311,209.361
238.472,217.854,230.293,57.5463,321.586,52.8885,329.765,213.196
239.501,217.828,231.1,56.5156,320.368,51.8663,328.77,213.179
248.468,225.599,199.288,81.2317,288.121,50.9696,337.302,195.337
248.527,225.11,193.122,87.3879,273.81,54.9271,329.215,192.649
270.743,222.156,168.718,111.259,229.724,55.1343,331.749,166.031
281.8,214.605,150.29,140.34,194.165,62.6459,325.674,136.91
271.493,214.852,156.531,140.835,209.891,57.957,324.853,131.974
270.615,215.077,157.769,139.846,212.538,57.6923,325.385,132.923
260.385,210.414,158.174,126.337,219.089,52.2833,321.301,136.36
253.949,205.248,149.936,136.394,209.61,46.2488,313.622,115.102
253.643,205.195,149.912,135.067,210.557,45.3628,314.288,115.491
169,178,169,60,280,60,280,178
178.252,181.755,151.052,91.4541,266.804,56.5892,294.003,146.891
184.394,185.134,147.129,109.474,257.358,55.1818,294.624,130.842
253.37,193.014,171.397,162.274,209.699,60.137,291.671,90.8767
255.228,189.097,176.641,155.848,217.908,58.3074,296.496,91.5558
194.854,160.356,190.614,69.204,280.559,65.0205,284.799,156.172
212,156,212,68,285,68,285,156
219.464,200.002,215.4,116.712,296.233,112.769,300.296,196.059
256.633,207.134,234.402,116.191,294.353,101.536,316.584,192.48
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
259.133,207.834,233.736,117.792,291.642,101.46,317.039,191.502
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
257.765,207.059,235.059,116.235,293.882,101.529,316.588,192.353
313.714,205.04,240.451,187.893,268.866,66.4794,342.13,83.6262
305.113,198.792,219.305,190.747,230.843,67.6728,316.651,75.7173
271.062,194.639,183.188,122.272,244.99,47.2268,332.864,119.594
188.084,165.922,172.724,70.6897,272.798,54.5487,288.158,149.781
175.707,167.16,161.028,84.9592,254.408,68.2843,269.086,150.485
236.041,201.494,156.578,197.586,162.127,84.744,241.591,88.652
152,204,152,86,232,86,232,204
150,203,150,87,229,87,229,203
153,201,153,79,233,79,233,201
164.76,202.717,115.355,139.01,212.399,63.7516,261.804,127.458
169.332,194.035,124.232,121.373,225.047,58.7983,270.148,131.46
191.06,194.942,132.739,134.289,223.05,47.452,281.371,108.105
195.382,176.48,144.106,104.091,236.555,38.6069,287.83,110.995
196,162,196,47,276,47,276,162
207,159,207,44,286,44,286,159
222,174,222,46,295,46,295,174
230,190,230,53,300,53,300,190
232,192,232,58,305,58,305,192
236.635,194.893,231.793,60.9472,306.358,58.2521,311.2,192.198
237.771,202.211,226.31,62.7691,301.079,56.6237,312.54,196.065
229,202,229,65,310,65,310,202
242.072,217.809,208.592,73.4279,284.716,55.776,318.196,200.158
270.498,216.548,180.86,117.946,245.466,59.2127,335.104,157.814
269.932,216.584,170.503,136.194,230.275,62.265,329.705,142.655
285.782,206.356,163.029,158.891,197.698,69.2298,320.451,116.695
233.712,218.948,168.338,114.834,251.019,62.9185,316.392,167.033
228.859,214.26,168.473,111.604,251.55,62.7352,311.936,165.391
271.93,198.704,173.618,129.403,230.46,48.7666,328.771,118.068
194,190,194,64,292,64,292,190
226.019,208.447,191.989,76.5834,280.846,53.6527,314.875,185.516
