1
828.755,450.078,755.612,425.994,809.525,262.258,882.668,286.342
828.146,450.224,754.898,426.076,808.869,262.363,882.117,286.511
827.407,450.019,755.05,426.099,809.153,262.439,881.51,286.359
827.183,449.697,755.124,425.876,809.153,262.439,881.211,286.26
827.351,449.689,755.785,426.43,809.057,262.518,880.622,285.777
827.005,449.556,756.015,426.62,809.024,262.546,880.014,285.481
816.385,447.027,755.97,428.687,813.909,237.829,874.324,256.17
819.97,447.474,752.885,427.582,809.134,237.883,876.218,257.774
820.227,447.571,752.401,427.184,809.333,237.776,877.159,258.163
809.417,450.451,734.033,418.241,805.704,250.501,881.088,282.71
813.66,456.189,732.698,433.057,785.339,248.811,866.302,271.943
813.416,460.115,725.594,435.87,773.717,261.56,861.539,285.805
813.154,457.231,725.461,439.692,761.115,261.423,848.808,278.961
772.302,465.734,743.098,278.828,828.33,265.511,857.534,452.417
808.941,463.235,733.412,444.353,779.647,259.412,855.177,278.294
754.185,436.833,749.382,259.125,831.484,256.906,836.287,434.614
784.382,423.998,710.262,378.115,791.48,246.916,865.6,292.8
765.52,413.5,688.185,332.943,791.557,233.705,868.893,314.263
831.041,382.465,707.618,372.971,717.523,244.194,840.947,253.688
789.799,370.657,687.676,317.164,743.498,210.594,845.621,264.087
735.722,351.158,672.809,260.521,782.024,184.713,844.937,275.35
706.832,318.569,683.561,243.585,867.5,186.5,890.771,261.485
704,303,704,217,879,217,879,303
704,302,704,217,878,217,878,302
728.54,357.031,654.619,289.335,757.321,177.189,831.242,244.885
746.218,342.62,648.134,251.855,732.953,160.196,831.037,250.96
693,305,693,128,789,128,789,305
712.968,309.113,682.55,116.927,769.431,103.176,799.849,295.362
700.305,312.24,683.127,101.806,769.004,94.7956,786.182,305.23
717.958,334.537,656.515,130.389,745.903,103.485,807.346,307.634
703.837,271.937,657.573,124.734,753.941,94.4472,800.204,241.65
803.957,250.792,645.159,192.517,676.688,106.601,835.486,164.876
840.384,253.424,636.729,180.803,661.381,111.671,865.036,184.292
865.397,238.244,645.329,195.453,658.668,126.852,878.736,169.643
694.408,254.668,656.977,162.873,820.43,96.2225,857.862,188.018
823,252,668.177,213.294,695.941,102.235,850.765,140.941
813.362,256.008,669.092,216.661,702.277,94.9846,846.546,134.331
671.013,253.15,632.515,148.023,818.243,80.0096,856.74,185.137
650,270,611.793,174.483,827.483,88.2069,865.69,183.724
634.413,256.395,604.269,153.133,829.543,87.3696,859.687,190.632
604.703,272.455,573.609,172.545,837.334,90.4674,868.429,190.377
581.423,271.758,553.545,170.766,828.892,94.759,856.77,195.751
596.7,300.1,561.1,193.3,822.4,106.2,858,213
563,237,563,133,868,133,868,237
557.443,245.645,552.774,148.862,877.019,133.218,881.689,230.002
857.819,244.55,554.151,232.464,558.118,132.796,861.786,144.882
828.268,241.134,550.465,233.043,553.126,141.683,830.929,149.775
564.175,241.773,559.763,165.666,840.819,149.373,845.231,225.479
561,238,561,170,834,170,834,238
832.952,245.094,568.412,242.609,569.082,171.306,833.622,173.79
801.515,258.135,525.948,221.393,534.769,155.236,810.336,191.978
540,258,540,173,750,173,750,258
552,269,552,181,731,181,731,269
724.261,276.084,558.133,265.009,563.779,180.319,729.907,191.394
705.694,282.95,559.756,277.337,563.196,187.892,709.135,193.505
678.429,304.925,552.741,275.351,572.859,189.849,698.547,219.423
559,292,559,198,670,198,670,292
562,291,562,201,669,201,669,291
562,290,562,201,668,201,668,290
559,309,559,219,661,219,661,309
562,308,562,226,666,226,666,308
562,307,562,226,665,226,665,307
577,314,577,232,679,232,679,314
675.634,315.293,571.915,303.768,580.268,228.585,683.988,240.11
669.862,336.655,578.379,297.448,609.207,225.517,700.69,264.724
595,327,595,249,689,249,689,327
595,326,595,249,688,249,688,326
2
0
0
0
0
1
588.453,527.045,507.856,431.402,621.245,335.85,701.842,431.493
575.661,533.413,497.43,427.971,623.573,334.381,701.804,439.823
